iter	RMSE
0	96.41828782
1	93.62083197
2	91.07762782
3	88.79708386
4	86.52208089
5	84.3421031
6	82.44955278
7	80.59879903
8	78.74132572
9	77.00132478
10	75.51139746
11	73.90331734
12	72.43522758
13	70.92711345
14	69.6563211
15	68.46566182
16	67.19903341
17	65.86653781
18	64.88913637
19	63.78798473
20	62.93555863
21	61.91101686
22	61.0404029
23	60.21887247
24	59.30904192
25	58.52627784
26	57.79765362
27	56.97337105
28	56.26458417
29	55.57597343
30	54.92001177
31	54.23626236
32	53.59006282
33	52.96170745
34	52.27668263
35	51.78796284
36	51.29278965
37	50.89597901
38	50.40318378
39	49.87122484
40	49.34811
41	48.89538514
42	48.46697653
43	47.93024451
44	47.42900767
45	47.13282526
46	46.77888977
47	46.37675615
48	46.02405914
49	45.72817876
50	45.46568254
51	45.02437892
52	44.76357401
53	44.52735193
54	44.29044061
55	44.08642762
56	43.88381451
57	43.64792068
58	43.34239458
59	43.07866168
60	42.80940796
61	42.57586144
62	42.359657
63	42.12566991
64	41.89522406
65	41.71299107
66	41.51305679
67	41.34672744
68	41.10794762
69	40.93959072
70	40.72753133
71	40.59014965
72	40.2888982
73	40.106159
74	39.92455891
75	39.75769263
76	39.60909122
77	39.43390338
78	39.29815868
79	39.17808732
80	39.01540084
81	38.84361332
82	38.69874233
83	38.56784406
84	38.3288033
85	38.20222816
86	37.99042763
87	37.81853637
88	37.71702763
89	37.53262009
90	37.46429834
91	37.3332367
92	37.15845199
93	37.06964688
94	36.97998476
95	36.87256823
96	36.71677491
97	36.63068532
98	36.49657908
99	36.34096428
100	36.21184815
101	36.0788098
102	35.93460043
103	35.77652147
104	35.5981486
105	35.50075913
106	35.42818033
107	35.37060336
108	35.21551256
109	35.06443241
110	34.97175015
111	34.85173272
112	34.76741594
113	34.67125825
114	34.57382852
115	34.43917495
116	34.33035791
117	34.19561064
118	34.07249799
119	33.92829301
120	33.92393868
121	33.78902011
122	33.73915491
123	33.6410428
124	33.52384286
125	33.4229369
126	33.33205813
127	33.18679148
128	33.07611016
129	33.00431003
130	32.90017148
131	32.79856846
132	32.68992375
133	32.61479889
134	32.52732212
135	32.47546186
136	32.40015692
137	32.34445909
138	32.26277386
139	32.19490492
140	32.11865855
141	32.02302624
142	31.90489193
143	31.82807956
144	31.71106303
145	31.61019329
146	31.49066935
147	31.33376447
148	31.23204155
149	31.14369178
150	31.09847251
151	31.01947331
152	30.93036077
153	30.87610747
154	30.7592259
155	30.65488039
156	30.58841439
157	30.49227656
158	30.4351715
159	30.33670116
160	30.24622046
161	30.17124244
162	30.08292783
163	30.02036249
164	29.93046515
165	29.8099373
166	29.70597685
167	29.61111739
168	29.5673962
169	29.51592764
170	29.47766571
171	29.41049222
172	29.36128447
173	29.28788813
174	29.2027592
175	29.14004059
176	29.02962423
177	29.0040531
178	28.9499892
179	28.87297488
180	28.79917725
181	28.71483552
182	28.63344687
183	28.52676184
184	28.46736958
185	28.38784768
186	28.31417976
187	28.22972012
188	28.15735225
189	28.12745777
190	28.05191361
191	27.98731174
192	27.92780634
193	27.84245379
194	27.76748957
195	27.70560875
196	27.58377208
197	27.50383442
198	27.44120809
199	27.3621262
